arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
zero,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.07579131424427032,0.10821457207202911,0.0,60,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.07579131424427032,0.10821457207202911,0.0,60,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.07579131424427032,0.10821457207202911,0.0,60,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.11593858897686005,0.12496389448642731,0.0,0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.11593858897686005,0.12496389448642731,0.0,0,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.11593858897686005,0.12496389448642731,0.0,0,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.11943663656711578,0.12449118494987488,0.0,12,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.11943663656711578,0.12449118494987488,0.0,12,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.11943663656711578,0.12449118494987488,0.0,12,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.1035870760679245,0.12148059904575348,0.0,24,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.1035870760679245,0.12148059904575348,0.0,24,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.1035870760679245,0.12148059904575348,0.0,24,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.09071756899356842,0.11741816252470016,0.0,36,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.09071756899356842,0.11741816252470016,0.0,36,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.09071756899356842,0.11741816252470016,0.0,36,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.08332924544811249,0.1122499406337738,0.0,48,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.08332924544811249,0.1122499406337738,0.0,48,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.08332924544811249,0.1122499406337738,0.0,48,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.07945127785205841,0.10906901210546494,0.0,60,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.07945127785205841,0.10906901210546494,0.0,60,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_01,0,0,0.07945127785205841,0.10906901210546494,0.0,60,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.11593858897686005,0.12496389448642731,0.0,0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.11593858897686005,0.12496389448642731,0.0,0,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.11593858897686005,0.12496389448642731,0.0,0,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.11943663656711578,0.12449118494987488,0.0,12,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.11943663656711578,0.12449118494987488,0.0,12,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.11943663656711578,0.12449118494987488,0.0,12,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.1035870760679245,0.12148059904575348,0.0,24,R3,0.0,0.0
