arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
learned,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.07811656594276428,0.11040008813142776,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.07811656594276428,0.11040008813142776,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.07197491079568863,0.1006661206483841,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.07197491079568863,0.1006661206483841,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.07197491079568863,0.1006661206483841,0.0,48,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.06759633123874664,0.09718094766139984,0.0,0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.06759633123874664,0.09718094766139984,0.0,0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.06759633123874664,0.09718094766139984,0.0,0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.036768246442079544,0.06700149178504944,0.0,12,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.036768246442079544,0.06700149178504944,0.0,12,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.036768246442079544,0.06700149178504944,0.0,12,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.03530886396765709,0.0627983957529068,0.0,24,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.03530886396765709,0.0627983957529068,0.0,24,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.03530886396765709,0.0627983957529068,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.05125114694237709,0.07792529463768005,0.0,36,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.05125114694237709,0.07792529463768005,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.05125114694237709,0.07792529463768005,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.07376526296138763,0.09925821423530579,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.07376526296138763,0.09925821423530579,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.07376526296138763,0.09925821423530579,0.0,48,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.07297082990407944,0.10438189655542374,0.0,60,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.07297082990407944,0.10438189655542374,0.0,60,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_00,0,0,0.07297082990407944,0.10438189655542374,0.0,60,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.08299867808818817,0.11459110677242279,0.0,0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.08299867808818817,0.11459110677242279,0.0,0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.08299867808818817,0.11459110677242279,0.0,0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.03696330264210701,0.06784408539533615,0.0,12,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.03696330264210701,0.06784408539533615,0.0,12,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.03696330264210701,0.06784408539533615,0.0,12,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.03674250468611717,0.06489544361829758,0.0,24,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.03674250468611717,0.06489544361829758,0.0,24,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.03674250468611717,0.06489544361829758,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.044644828885793686,0.07201676070690155,0.0,36,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.044644828885793686,0.07201676070690155,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.044644828885793686,0.07201676070690155,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.07262196391820908,0.09943969547748566,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.07262196391820908,0.09943969547748566,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.07262196391820908,0.09943969547748566,0.0,48,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.07180114090442657,0.10350602865219116,0.0,60,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.07180114090442657,0.10350602865219116,0.0,60,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_01,0,0,0.07180114090442657,0.10350602865219116,0.0,60,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.08299867808818817,0.11459110677242279,0.0,0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.08299867808818817,0.11459110677242279,0.0,0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.08299867808818817,0.11459110677242279,0.0,0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.03696330264210701,0.06784408539533615,0.0,12,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.03696330264210701,0.06784408539533615,0.0,12,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.03696330264210701,0.06784408539533615,0.0,12,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.03674250468611717,0.06489544361829758,0.0,24,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.03674250468611717,0.06489544361829758,0.0,24,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.03674250468611717,0.06489544361829758,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.044644828885793686,0.07201676070690155,0.0,36,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.044644828885793686,0.07201676070690155,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.044644828885793686,0.07201676070690155,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.07403438538312912,0.09876921027898788,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.07403438538312912,0.09876921027898788,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001258_02,0,0,0.07403438538312912,0.09876921027898788,0.0,48,R1,0.0,0.0
