arm,best_risk,dataset,episode_id,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,nominal_risk,regime,stage
fixed,1.96291739806842e-10,DFC2018,0000,0,1.3818870782852173,2.258463144302368,0.0,4.5096752387951966e-08,soft-dominant-test,8
fixed,1.1263792093485492e-08,DFC2018,0000,0,1.3863050937652588,2.2622427940368652,0.0,1.6466618824040324e-07,soft-dominant-test,9
fixed,0.0,DFC2018,0000,0,1.3874187469482422,2.263986110687256,0.0,3.799573446864694e-05,soft-dominant-test,10
fixed,2.0290386052122336e-07,DFC2018,0000,0,1.385087490081787,2.2644386291503906,0.0,0.00028519624561340606,soft-dominant-test,11
fixed,2.3870924805521426e-05,DFC2018,0000,0,1.3837921619415283,2.2631778717041016,0.0,0.001088248109833027,soft-dominant-test,12
fixed,8.96272195460406e-05,DFC2018,0000,0,1.3815574645996094,2.2618653774261475,0.0,0.0036721126719688377,soft-dominant-test,13
fixed,0.00039764835268581616,DFC2018,0000,0,1.3803130388259888,2.2612719535827637,0.0,0.008723148649247984,soft-dominant-test,14
fixed,0.0013315689707873446,DFC2018,0000,1,1.3800432682037354,2.261138439178467,1.5,0.016589012695476413,soft-dominant-test,15
fixed,0.003137636520648357,DFC2018,0000,1,1.380053997039795,2.2611191272735596,1.5,0.02623206501205762,soft-dominant-test,16
fixed,0.00700821451240093,DFC2018,0000,1,1.380645751953125,2.2613775730133057,1.5,0.02948184156169494,soft-dominant-test,17
fixed,0.005964482027573344,DFC2018,0000,1,1.3823087215423584,2.2621726989746094,1.5,0.018802439017842214,soft-dominant-test,18
fixed,0.0015012756204271227,DFC2018,0000,0,1.3841149806976318,2.2631959915161133,0.0,0.0032656131776699717,soft-dominant-test,19
fixed,8.626121799538053e-06,DFC2018,0000,0,1.384619951248169,2.2635107040405273,0.0,0.00035917294493022683,soft-dominant-test,20
fixed,1.0688449899283933e-05,DFC2018,0000,0,1.3848116397857666,2.2635178565979004,0.0,7.224318706278154e-05,soft-dominant-test,21
fixed,6.17691339119264e-08,DFC2018,0000,0,1.383941650390625,2.2631378173828125,0.0,7.603864498722154e-07,soft-dominant-test,22
fixed,1.318453339097895e-07,DFC2018,0000,0,1.3808525800704956,2.2624409198760986,0.0,0.00011675410443898425,soft-dominant-test,23
fixed,2.507669307760807e-05,DFC2018,0000,0,1.3104194402694702,2.289471387863159,0.0,0.008356144382939116,soft-dominant-test,24
fixed,0.0010870483985386745,DFC2018,0000,0,1.2869057655334473,2.2639856338500977,0.0,0.002932423801283335,soft-dominant-test,25
fixed,0.0,DFC2018,0000,0,1.3267558813095093,2.283764600753784,0.0,5.982360088789089e-08,soft-dominant-test,26
fixed,0.0,DFC2018,0000,0,1.3581831455230713,2.3012337684631348,0.0,0.0,soft-dominant-test,27
fixed,0.0,DFC2018,0000,0,1.3605796098709106,2.3013675212860107,0.0,0.0,soft-dominant-test,28
fixed,0.0,DFC2018,0000,0,1.3587653636932373,2.3027801513671875,0.0,0.0,soft-dominant-test,29
fixed,0.0,DFC2018,0000,0,1.3558533191680908,2.304839849472046,0.0,0.0,soft-dominant-test,30
fixed,0.0,DFC2018,0000,0,1.3467246294021606,2.3114726543426514,0.0,0.0,soft-dominant-test,31
fixed,0.0,DFC2018,0000,0,1.3883569240570068,2.2652127742767334,0.0,0.0,soft-dominant-test,32
fixed,0.0,DFC2018,0000,0,1.388371467590332,2.2652106285095215,0.0,0.0,soft-dominant-test,33
fixed,0.0,DFC2018,0000,0,1.3883792161941528,2.265209436416626,0.0,0.0,soft-dominant-test,34
fixed,0.0,DFC2018,0000,0,1.3883792161941528,2.265209197998047,0.0,0.0,soft-dominant-test,35
fixed,0.0,DFC2018,0000,0,1.38837468624115,2.2652077674865723,0.0,0.0,soft-dominant-test,36
