arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,raw_soft_force_norm,raw_soft_force_perp_norm,regime,soft_force_norm,soft_force_perp_norm
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.08039303869009018,0.11115793883800507,0.0,30,0.33451545238494873,0.20657743513584137,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.0736079290509224,0.10544490069150925,0.0,36,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.0736079290509224,0.10544490069150925,0.0,36,0.02544807456433773,0.013385199010372162,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.0736079290509224,0.10544490069150925,0.0,36,0.36201000213623047,0.1904103308916092,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.0677841305732727,0.09706169366836548,0.0,42,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.0677841305732727,0.09706169366836548,0.0,42,0.018827151507139206,0.012362686917185783,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.0677841305732727,0.09706169366836548,0.0,42,0.2909564673900604,0.1910540759563446,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05792321637272835,0.08839361369609833,0.0,48,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05792321637272835,0.08839361369609833,0.0,48,0.010374845005571842,0.005719020031392574,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05792321637272835,0.08839361369609833,0.0,48,0.17605645954608917,0.09704920649528503,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04978451132774353,0.08013679087162018,0.0,54,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0008937711827456951,00003_001631_03,0,0,0.04978451132774353,0.08013679087162018,0.0,54,0.015993749722838402,0.010659624822437763,R2,0.0,0.0
fixed,0,RELLIS-3D,0.01672959327697754,00003_001631_03,0,0,0.04978451132774353,0.08013679087162018,0.0,54,0.2993709146976471,0.1995268017053604,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,8.429888112004846e-05,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,0.0002528930199332535,0.00025253984495066106,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0016569384606555104,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,0.00497074518352747,0.004963803105056286,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04325384274125099,0.07550439238548279,0.0,66,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04325384274125099,0.07550439238548279,0.0,66,1.9396934476390015e-06,1.9029987470275955e-06,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04325384274125099,0.07550439238548279,0.0,66,3.853471571346745e-05,3.780572296818718e-05,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,0.0,0.0,R2,0.0,0.0
