arm,backtracking_ratio,barrier_violation_m,catastrophic_failure,curvature_energy,dataset,episode_id,excess_length_m,failure_score,hard_hazard_length_m,hard_hits,low_margin_length_m,max_risk,max_violation_severity_m,mean_rho,mean_safety_margin_m,min_hard_distance_m,oscillation,path_cvar_risk,path_length_m,path_length_ratio,regime,revisit_count,risk_exposure,soft_risk_violation_length_m,success
fixed,0.0,1.3808910077153216,1.0,0.2406429237635993,RELLIS-3D,00003_001298_03,-3.678583112871813,514.4050487188292,2.761782015430643,1.0,2.761782015430643,0.663748562335968,0.5,0.3983131834075367,2.3002084804800793,0.0,1.0760772658567248,0.6545387578373301,30.049216887128182,0.8909332030884963,R1,0.0,11.968999237215536,30.049216887128182,1.0
zero,0.0,2.982352697878475,1.0,0.6873480234355801,RELLIS-3D,00003_001298_04,-3.1265368237514437,699.4248176675471,5.96470539575695,1.0,5.96470539575695,0.798841655254364,0.5,0.5255875884179607,3.9465282678707263,0.0,1.810146228373901,0.798841655254364,38.929663176248546,0.9256581235643866,R1,0.0,20.460947786727964,38.929663176248546,1.0
learned,0.0,2.982352697878475,1.0,0.687360293284798,RELLIS-3D,00003_001298_04,-3.126534125260804,699.4248324571641,5.96470539575695,1.0,5.96470539575695,0.798841655254364,0.5,0.5255875961940032,3.9465365426167747,0.0,1.8101723655840298,0.798841655254364,38.929665874739186,0.9256581877283063,R1,0.0,20.460949507739883,38.929665874739186,1.0
fixed,0.0,2.982352697878475,1.0,0.6876192679618178,RELLIS-3D,00003_001298_04,-3.1264707289109808,699.4251466910341,5.96470539575695,1.0,5.96470539575695,0.798841655254364,0.5,0.5255876533056362,3.946671051365636,0.0,1.810729745972965,0.798841655254364,38.92972927108901,0.9256596951481355,R1,0.0,20.460985051415406,38.92972927108901,1.0
zero,0.0,1.4337395538942415,1.0,0.25147907042561696,RELLIS-3D,00003_001298_05,-4.678099635275437,520.6493691657363,2.867479107788483,1.0,13.150286761784724,0.5137384533882141,0.5,0.40628155832409474,1.3606798029283529,0.0,0.9827588183020899,0.5137384533882141,30.635500364724557,0.8675269687804291,R1,0.0,12.446638828218665,30.635500364724557,1.0
learned,0.0,1.4337393234067628,1.0,0.25148098058643387,RELLIS-3D,00003_001298_05,-4.67813517765406,520.6493228744068,2.8674786468135256,1.0,13.150260001739431,0.5137384533882141,0.5,0.4062813168195978,1.3606799474674351,0.0,0.9827606205195591,0.5137384533882141,30.635464822345934,0.8675259623019442,R1,0.0,12.446616989403172,30.635464822345934,1.0
fixed,0.0,1.4337289442290797,1.0,0.2515034046540561,RELLIS-3D,00003_001298_05,-4.67873576045719,520.6479017769796,2.8674578884581594,1.0,13.149939593548925,0.5137384533882141,0.5,0.40627809279016264,1.3606736735612301,0.0,0.9828873913074981,0.5137384533882141,30.634864239542804,0.8675089551771218,R1,0.0,12.446274216127007,30.634864239542804,1.0
zero,0.0,0.0,0.0,0.25114448648089616,RELLIS-3D,00003_001298_06,-4.072609062077646,16.24299751148371,0.0,0.0,0.0,0.550000011920929,0.0,0.4644078329630296,3.0605472557589812,1.1180340051651,0.9352498472580039,0.5499873071388043,33.968790937922336,0.8929427134101887,R1,0.0,15.77537258785471,33.968790937922336,1.0
learned,0.0,0.0,0.0,0.2511466821785444,RELLIS-3D,00003_001298_06,-4.072600365795637,16.243003316179557,0.0,0.0,0.0,0.550000011920929,0.0,0.46440800036179614,3.0605590520647117,1.1180340051651,0.9352420067364108,0.5499873074926968,33.968799634204345,0.892942942010661,R1,0.0,15.775382312811352,33.968799634204345,1.0
fixed,0.0,0.0,0.0,0.2511806087424474,RELLIS-3D,00003_001298_06,-4.0725140558745,16.24307211886749,0.0,0.0,0.0,0.550000011920929,0.0,0.4644104462172643,3.060732681509033,1.1180340051651,0.9351332801056385,0.5499873123333638,33.96888594412548,0.8929452108525316,R1,0.0,15.775505478814672,33.96888594412548,1.0
zero,0.0,0.0,0.0,0.5275004876743199,RELLIS-3D,00003_001298_07,-2.3544265987021475,18.51028388422974,0.0,0.0,8.59370700170643,0.550000011920929,0.0,0.46112996002179385,2.9833787905974756,0.7071067690849304,1.7231228315322005,0.550000011920929,38.27277340129782,0.9420480220467532,R1,0.0,17.64872246846364,38.27277340129782,1.0
learned,0.0,0.0,0.0,0.5275004876743199,RELLIS-3D,00003_001298_07,-2.3544265987021475,18.51028388422974,0.0,0.0,8.59370700170643,0.550000011920929,0.0,0.46112996002179385,2.9833787905974756,0.7071067690849304,1.7231228315322005,0.550000011920929,38.27277340129782,0.9420480220467532,R1,0.0,17.64872246846364,38.27277340129782,1.0
fixed,0.0,0.0,0.0,0.5275004876743199,RELLIS-3D,00003_001298_07,-2.3544265987021475,18.51028388422974,0.0,0.0,8.59370700170643,0.550000011920929,0.0,0.46112996002179385,2.9833787905974756,0.7071067690849304,1.7231228315322005,0.550000011920929,38.27277340129782,0.9420480220467532,R1,0.0,17.64872246846364,38.27277340129782,1.0
zero,0.0,0.0,0.0,0.21970491809708903,RELLIS-3D,00003_000307_00,-2.5691454741628412,15.329413010956149,0.0,0.0,0.0,0.550000011920929,0.0,0.48376967102581087,9.617231146055408,2.0615527629852295,0.9123567182478131,0.5499998658226626,30.744454525837153,0.9228799807237031,R1,0.0,14.873234651832242,30.744454525837153,1.0
learned,0.0,0.0,0.0,0.21970750956909063,RELLIS-3D,00003_000307_00,-2.569098074083236,15.329408841595473,0.0,0.0,0.0,0.550000011920929,0.0,0.48376911555320434,9.617212078836145,2.0615527629852295,0.9123366735418732,0.5499998658194059,30.744501925916758,0.9228814035684154,R1,0.0,14.873240504824537,30.744501925916758,1.0
fixed,0.0,0.0,0.0,0.2197419488394443,RELLIS-3D,00003_000307_00,-2.5685116050009356,15.3293384863805,0.0,0.0,0.0,0.550000011920929,0.0,0.4837619354880766,9.61695370863309,2.0615527629852295,0.9120700353275047,0.5499998657936574,30.74508839499906,0.922899008062745,R1,0.0,14.873303468716747,30.74508839499906,1.0
zero,0.0,0.0,0.0,0.5032138654613102,RELLIS-3D,00003_000307_01,-1.7628608490817967,21.058050067152358,0.0,0.0,0.0,0.550000011920929,0.0,0.5146139813825745,12.448672439713818,6.964194297790527,1.4093734521493904,0.550000011920929,39.55073915091817,0.9573297691539396,R1,0.0,20.353363341077664,39.55073915091817,1.0
learned,0.0,0.0,0.0,0.5032129112997005,RELLIS-3D,00003_000307_01,-1.762858759884132,21.05805683763967,0.0,0.0,0.0,0.550000011920929,0.0,0.5146140387043805,12.44868141708882,6.964194297790527,1.4093803086235246,0.550000011920929,39.55074124011583,0.9573298197231872,R1,0.0,20.353366683327906,39.55074124011583,1.0
fixed,0.0,0.0,0.0,0.5032094192353446,RELLIS-3D,00003_000307_01,-1.7628315206469836,21.05813825891689,0.0,0.0,0.0,0.550000011920929,0.0,0.5146146923878412,12.448783228614149,6.964194297790527,1.4094634084238609,0.550000011920929,39.55076847935298,0.9573304790517654,R1,0.0,20.35340655470496,39.55076847935298,1.0
zero,0.0,0.0,0.0,0.5069486004063566,RELLIS-3D,00003_000307_02,-3.7746128026673844,18.168925051643946,0.0,0.0,0.0,0.550000011920929,0.0,0.44161249641816214,8.55674045721433,2.5495097637176514,1.4160284191683061,0.550000011920929,39.53898719733258,0.9128538656988247,R1,0.0,17.460910842059793,39.53898719733258,1.0
learned,0.0,0.0,0.0,0.5069486004063566,RELLIS-3D,00003_000307_02,-3.7746128026673844,18.168925051643946,0.0,0.0,0.0,0.550000011920929,0.0,0.44161249641816214,8.55674045721433,2.5495097637176514,1.4160284191683061,0.550000011920929,39.53898719733258,0.9128538656988247,R1,0.0,17.460910842059793,39.53898719733258,1.0
fixed,0.0,0.0,0.0,0.5069486004063566,RELLIS-3D,00003_000307_02,-3.7746128026673844,18.168925051643946,0.0,0.0,0.0,0.550000011920929,0.0,0.44161249641816214,8.55674045721433,2.5495097637176514,1.4160284191683061,0.550000011920929,39.53898719733258,0.9128538656988247,R1,0.0,17.460910842059793,39.53898719733258,1.0
zero,0.0,0.0,0.0,0.2603040431347575,RELLIS-3D,00003_000307_04,-2.1340699750425216,12.626045133360442,0.0,0.0,0.0,0.550000011920929,0.0,0.42051498426885714,7.629726896184084,1.5811388492584229,0.8132479830692323,0.5499993118923278,29.058230024957478,0.9315834364557112,R1,0.0,12.219421141825826,29.058230024957478,1.0
learned,0.0,0.0,0.0,0.2603040431347575,RELLIS-3D,00003_000307_04,-2.1340699750425216,12.626045133360442,0.0,0.0,0.0,0.550000011920929,0.0,0.42051498426885714,7.629726896184084,1.5811388492584229,0.8132479830692323,0.5499993118923278,29.058230024957478,0.9315834364557112,R1,0.0,12.219421141825826,29.058230024957478,1.0
fixed,0.0,0.0,0.0,0.2603040431347575,RELLIS-3D,00003_000307_04,-2.1340699750425216,12.626045133360442,0.0,0.0,0.0,0.550000011920929,0.0,0.42051498426885714,7.629726896184084,1.5811388492584229,0.8132479830692323,0.5499993118923278,29.058230024957478,0.9315834364557112,R1,0.0,12.219421141825826,29.058230024957478,1.0
zero,0.0,0.0,0.0,0.2451790666110601,RELLIS-3D,00003_000307_05,-1.9584482944495392,17.679546198758786,0.0,0.0,10.055623557543585,0.550230860710144,0.0,0.48196834829530916,3.733304311452037,0.5,0.9481411807392048,0.5501404034310254,35.69835170555045,0.9479921742036089,R1,0.0,17.205475608389182,35.69835170555045,1.0
learned,0.0,0.0,0.0,0.24519065718024266,RELLIS-3D,00003_000307_05,-1.958439362039698,17.679566357621514,0.0,0.0,10.055657612744593,0.550230860710144,0.0,0.4819682042904752,3.733302609023043,0.5,0.9481831696600203,0.5501404019055463,35.69836063796029,0.9479924114093683,R1,0.0,17.205474772791504,35.69836063796029,1.0
fixed,0.0,0.0,0.0,0.24534184164909573,RELLIS-3D,00003_000307_05,-1.9583106047851118,17.679831126227423,0.0,0.0,10.05611048428098,0.550230860710144,0.0,0.481966400164655,3.733280423912333,0.5,0.9487174021991917,0.5501403829218101,35.69848939521488,0.9479958306392176,R1,0.0,17.205472425127827,35.69848939521488,1.0
zero,0.0,0.0,0.0,0.5163688786555174,RELLIS-3D,00003_000307_06,-3.8752954268585356,17.509637695022565,0.0,0.0,0.0,0.550000011920929,0.0,0.4260504053993314,7.233395561014218,2.0615527629852295,1.4138640867467032,0.5500000119209288,39.43830457314143,0.9105293619819517,R1,0.0,16.802705651649212,39.43830457314143,1.0
learned,0.0,0.0,0.0,0.5163802991723939,RELLIS-3D,00003_000307_06,-3.8752630845805456,17.509688514690506,0.0,0.0,0.0,0.550000011920929,0.0,0.42605040255348425,7.233396020389829,2.0615527629852295,1.413938391672249,0.550000011920929,39.43833691541942,0.9105301086822488,R1,0.0,16.802719318854383,39.43833691541942,1.0
fixed,0.0,0.0,0.0,0.5165304689372411,RELLIS-3D,00003_000307_06,-3.874864363510639,17.51058631727005,0.0,0.0,0.0,0.550000011920929,0.0,0.4260502672593228,7.233399622356829,2.0615527629852295,1.415404917947988,0.550000011920929,39.43873563648933,0.9105393141297273,R1,0.0,16.802883858296056,39.43873563648933,1.0
zero,0.0,0.0,0.0,0.0004043934762315582,RELLIS-3D,00003_000307_07,-1.1179662671669135,15.215472019966429,0.0,0.0,2.462116833245095,0.5594011545181274,0.0,0.4632786689128189,3.01774443477485,0.5,0.04335302173165376,0.5570577465464531,32.79623373283309,0.9670354521950418,R1,0.0,15.193795509100601,32.79623373283309,1.0
learned,0.0,0.0,0.0,0.0004043934762315582,RELLIS-3D,00003_000307_07,-1.1179662671669135,15.215472019966429,0.0,0.0,2.462116833245095,0.5594011545181274,0.0,0.4632786689128189,3.01774443477485,0.5,0.04335302173165376,0.5570577465464531,32.79623373283309,0.9670354521950418,R1,0.0,15.193795509100601,32.79623373283309,1.0
fixed,0.0,0.0,0.0,0.0004043934762315582,RELLIS-3D,00003_000307_07,-1.1179662671669135,15.215472019966429,0.0,0.0,2.462116833245095,0.5594011545181274,0.0,0.4632786689128189,3.01774443477485,0.5,0.04335302173165376,0.5570577465464531,32.79623373283309,0.9670354521950418,R1,0.0,15.193795509100601,32.79623373283309,1.0
zero,0.0,0.0,0.0,0.21537662732995289,RELLIS-3D,00003_001102_01,-1.806236736700761,15.855867000979107,0.0,0.0,0.0,0.550000011920929,0.0,0.4579492922405038,5.504118975742819,1.5811388492584229,1.0223874194115352,0.550000011920929,33.507363263299226,0.9488515264175625,R1,0.0,15.344673291273338,33.507363263299226,1.0
learned,0.0,0.0,0.0,0.21537662732995289,RELLIS-3D,00003_001102_01,-1.806236736700761,15.855867000979107,0.0,0.0,0.0,0.550000011920929,0.0,0.4579492922405038,5.504118975742819,1.5811388492584229,1.0223874194115352,0.550000011920929,33.507363263299226,0.9488515264175625,R1,0.0,15.344673291273338,33.507363263299226,1.0
fixed,0.0,0.0,0.0,0.21537662732995289,RELLIS-3D,00003_001102_01,-1.806236736700761,15.855867000979107,0.0,0.0,0.0,0.550000011920929,0.0,0.4579492922405038,5.504118975742819,1.5811388492584229,1.0223874194115352,0.550000011920929,33.507363263299226,0.9488515264175625,R1,0.0,15.344673291273338,33.507363263299226,1.0
zero,0.0,0.0,0.0,0.5681132241606315,RELLIS-3D,00003_001102_02,-2.2956052220659515,21.173481168181294,0.0,0.0,0.0,0.6057974696159363,0.0,0.5040046338217374,7.566073780712482,1.1180340051651,1.692341021363936,0.5977488011432512,40.331594777934,0.9461469385259658,R1,0.0,20.327310657499325,40.331594777934,1.0
learned,0.0,0.0,0.0,0.5681163539405168,RELLIS-3D,00003_001102_02,-2.2956115288188386,21.173468882455413,0.0,0.0,0.0,0.6057974696159363,0.0,0.5040043381627359,7.566051625824535,1.1180340051651,1.6923466559718872,0.5977477683038855,40.331588471181114,0.94614679057459,R1,0.0,20.32729555446947,40.331588471181114,1.0
fixed,0.0,0.0,0.0,0.5681574469314606,RELLIS-3D,00003_001102_02,-2.295655907077048,21.173345744258548,0.0,0.0,0.0,0.6057974696159363,0.0,0.5040006965923615,7.565763818859531,1.1180340051651,1.6924388535597203,0.5977347957691341,40.331544092922904,0.9461457494961656,R1,0.0,20.327126317478687,40.331544092922904,1.0
