comparison,dataset,delta_mean_rho,delta_path_length_ratio,delta_risk_exposure,delta_success,episode_id
learned_minus_fixed,RELLIS-3D,-1.2320525433207052e-07,-3.7014380395161695e-06,-6.724110661515681e-05,0.0,00003_000099_03
learned_minus_zero,RELLIS-3D,1.8269691909322816e-07,-2.151717554910171e-06,-1.9503529204101255e-05,0.0,00003_000099_04
learned_minus_fixed,RELLIS-3D,-2.053964689718857e-06,2.2238898878312874e-05,0.00019660815253885744,0.0,00003_000099_04
learned_minus_zero,RELLIS-3D,-3.6863647689955314e-09,-2.0997803051869823e-07,-3.588674296395311e-06,0.0,00003_000099_05
learned_minus_fixed,RELLIS-3D,7.021885495284153e-08,2.3676233421587867e-06,4.126136422577531e-05,0.0,00003_000099_05
learned_minus_zero,RELLIS-3D,2.0286449198270162e-07,1.9504141609560932e-06,3.9951067728694056e-05,0.0,00003_000099_07
learned_minus_fixed,RELLIS-3D,-2.1289208350649957e-06,-2.0235050323336168e-05,-0.000415297786826585,0.0,00003_000099_07
learned_minus_zero,RELLIS-3D,-2.171210416457292e-07,1.598156719184729e-07,-4.5573406630694535e-06,0.0,00003_000108_00
learned_minus_fixed,RELLIS-3D,2.2575735332819313e-06,-1.527344017482335e-06,4.967710590619845e-05,0.0,00003_000108_00
learned_minus_zero,RELLIS-3D,-5.554726065226667e-07,1.4228447122732746e-06,5.852992295274362e-06,0.0,00003_000307_00
learned_minus_fixed,RELLIS-3D,7.18006512773206e-06,-1.7604494329637177e-05,-6.29638922102771e-05,0.0,00003_000307_00
learned_minus_zero,RELLIS-3D,5.732180596851322e-08,5.056924756718928e-08,3.3422502419000466e-06,0.0,00003_000307_01
learned_minus_fixed,RELLIS-3D,-6.536834606940545e-07,-6.593285781786307e-07,-3.987137705507848e-05,0.0,00003_000307_01
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000307_02
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000307_02
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000307_04
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000307_04
learned_minus_zero,RELLIS-3D,-1.4400483394627628e-07,2.37205759368031e-07,-8.355976781615482e-07,0.0,00003_000307_05
learned_minus_fixed,RELLIS-3D,1.8041258202372568e-06,-3.4192298492552453e-06,2.3476636776820214e-06,0.0,00003_000307_05
